"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-02 - Senators 3, Maple Leafs 5","Ottawa Senators","Limited ReportFull Report","44.133333333333","54.02","78","40.92","43.75","59.15","42.52","29.01","43.23","40.16","4.18","5.16","44.73","2.22","3.44","39.27","19.18","34.03","36.04","8.32","15.74","34.58","4.2","5.12","45.08","75.21","44.01","14.40","88.06","1.025"
" 2019-10-02 - Senators 3, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","44.133333333333","78","54.02","59.08","59.15","43.75","57.48","43.23","29.01","59.84","5.16","4.18","55.27","3.44","2.22","60.73","34.03","19.18","63.96","15.74","8.32","65.42","5.12","4.2","54.92","55.99","24.79","11.94","85.60","0.975"
" 2019-10-02 - Capitals 3, Blues 2","Washington Capitals","Limited ReportFull Report","50.866666666667","47.21","33.43","58.55","39.14","27.17","59.03","28.43","20.01","58.69","1.2","1.11","51.81","2.26","1.35","62.52","23.09","13.76","62.66","6.14","5.59","52.34","0","1.11","0.00","0.00","80.36","4.21","94.44","0.986"
" 2019-10-02 - Capitals 3, Blues 2","St Louis Blues","Limited ReportFull Report","50.866666666667","33.43","47.21","41.45","27.17","39.14","40.97","20.01","28.43","41.31","1.11","1.2","48.19","1.35","2.26","37.48","13.76","23.09","37.34","5.59","6.14","47.66","1.11","0","100.00","19.64","100.00","5.56","95.79","1.014"
" 2019-10-02 - Canucks 2, Oilers 3","Vancouver Canucks","Limited ReportFull Report","47.066666666667","67.92","44.76","60.28","48.03","30.38","61.25","30.41","24.1","55.79","2.64","3.58","42.39","1.99","1.71","53.76","31.14","19.81","61.12","9.11","6.04","60.13","1.35","2.4","35.98","34.15","60.71","8.67","85.13","0.938"
" 2019-10-02 - Canucks 2, Oilers 3","Edmonton Oilers","Limited ReportFull Report","47.066666666667","44.76","67.92","39.72","30.38","48.03","38.75","24.1","30.41","44.21","3.58","2.64","57.61","1.71","1.99","46.24","19.81","31.14","38.88","6.04","9.11","39.87","2.4","1.35","64.02","39.29","65.85","14.87","91.33","1.062"
" 2019-10-02 - Sharks 1, Golden Knights 4","San Jose Sharks","Limited ReportFull Report","45.666666666667","40.18","62.73","39.04","30.07","51.94","36.66","19.82","32.21","38.10","1.33","2.6","33.91","1.4","3.84","26.72","8.95","32.63","21.52","5.27","16.02","24.75","0","1.3","0.00","0.00","87.94","6.72","91.93","0.987"
" 2019-10-02 - Sharks 1, Golden Knights 4","Vegas Golden Knights","Limited ReportFull Report","45.666666666667","62.73","40.18","60.96","51.94","30.07","63.34","32.21","19.82","61.90","2.6","1.33","66.09","3.84","1.4","73.28","32.63","8.95","78.48","16.02","5.27","75.25","1.3","0","100.00","12.06","100.00","8.07","93.28","1.013"
" 2019-10-03 - Panthers 2, Lightning 5","Florida Panthers","Limited ReportFull Report","45.5","57.6","46.81","55.17","46.56","32.45","58.93","37.57","25.64","59.43","1.33","2.55","34.36","1.69","1.86","47.57","22.62","19.77","53.36","9.26","11.77","44.02","1.33","1.31","50.51","16.98","80.19","3.55","90.06","0.936"
" 2019-10-03 - Panthers 2, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","45.5","46.81","57.6","44.83","32.45","46.56","41.07","25.64","37.57","40.57","2.55","1.33","65.64","1.86","1.69","52.43","19.77","22.62","46.64","11.77","9.26","55.98","1.31","1.33","49.49","19.81","83.02","9.94","96.45","1.064"
" 2019-10-03 - Jets 4, Rangers 6","Winnipeg Jets","Limited ReportFull Report","48.066666666667","76.99","51.01","60.15","60.75","38.92","60.95","44.05","31.62","58.21","3.79","4.69","44.70","3.52","2.01","63.62","34.87","25","58.24","17.05","11.68","59.35","2.52","3.5","41.90","17.71","63.01","8.60","85.18","0.938"
" 2019-10-03 - Jets 4, Rangers 6","New York Rangers","Limited ReportFull Report","48.066666666667","51.01","76.99","39.85","38.92","60.75","39.05","31.62","44.05","41.79","4.69","3.79","55.30","2.01","3.52","36.38","25","34.87","41.76","11.68","17.05","40.65","3.5","2.52","58.10","36.99","82.29","14.82","91.40","1.062"
" 2019-10-03 - Sabres 3, Penguins 1","Buffalo Sabres","Limited ReportFull Report","47.466666666667","74.81","44.85","62.52","50.95","30.61","62.46","43.69","21.76","66.75","2.7","0","100.00","3.14","1.01","75.59","36.07","17.09","67.85","14.06","4.43","76.04","1.37","0","100.00","10.87","100.00","6.17","100.00","1.062"
" 2019-10-03 - Sabres 3, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","47.466666666667","44.85","74.81","37.48","30.61","50.95","37.54","21.76","43.69","33.25","0","2.7","0.00","1.01","3.14","24.41","17.09","36.07","32.15","4.43","14.06","23.96","0","1.37","0.00","0.00","89.13","0.00","93.83","0.938"
" 2019-10-03 - Canadiens 3, Hurricanes 4","Montreal Canadiens","Limited ReportFull Report","49.316666666667","62.46","70.36","47.03","48.81","57.3","46.00","33.62","40.99","45.06","2.52","2.27","52.55","2.37","3.88","37.92","18.88","33.56","36.00","8.98","19.36","31.70","2.52","2.26","52.66","39.75","83.63","7.48","94.46","1.019"
" 2019-10-03 - Canadiens 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","49.316666666667","70.36","62.46","52.97","57.3","48.81","54.00","40.99","33.62","54.94","2.27","2.52","47.45","3.88","2.37","62.08","33.56","18.88","64.00","19.36","8.98","68.30","2.26","2.52","47.34","16.37","60.25","5.54","92.52","0.981"
" 2019-10-03 - Wild 2, Predators 5","Minnesota Wild","Limited ReportFull Report","50.483333333333","46.16","65.37","41.39","35.08","48.57","41.94","25.64","28.52","47.34","1.26","4.52","21.76","1.34","2.2","37.91","20.31","20.84","49.35","8.36","7.95","51.23","0","3.39","0.00","0.00","40.80","4.90","84.17","0.891"
" 2019-10-03 - Wild 2, Predators 5","Nashville Predators","Limited ReportFull Report","50.483333333333","65.37","46.16","58.61","48.57","35.08","58.06","28.52","25.64","52.66","4.52","1.26","78.24","2.2","1.34","62.09","20.84","20.31","50.65","7.95","8.36","48.77","3.39","0","100.00","59.20","100.00","15.83","95.10","1.109"
" 2019-10-03 - Bruins 2, Stars 1","Boston Bruins","Limited ReportFull Report","47.6","54.02","44.17","55.02","34.98","33.64","50.98","23.53","23.75","49.77","1.33","1.2","52.62","1.59","1.21","56.84","23.92","15.67","60.41","7.04","4.42","61.45","0","0","-","0.00","100.00","5.66","94.95","1.006"
" 2019-10-03 - Bruins 2, Stars 1","Dallas Stars","Limited ReportFull Report","47.6","44.17","54.02","44.98","33.64","34.98","49.02","23.75","23.53","50.23","1.2","1.33","47.38","1.21","1.59","43.16","15.67","23.92","39.59","4.42","7.04","38.55","0","0","-","0.00","100.00","5.05","94.34","0.994"
" 2019-10-03 - Flames 3, Avalanche 5","Calgary Flames","Limited ReportFull Report","42.15","65.11","57.56","53.08","47.75","41.2","53.68","30.84","31.25","49.68","1.44","2.69","34.96","2.61","2.27","53.42","25.99","27.77","48.34","11.78","9.67","54.91","0","0","-","0.00","100.00","4.68","91.40","0.961"
" 2019-10-03 - Flames 3, Avalanche 5","Colorado Avalanche","Limited ReportFull Report","42.15","57.56","65.11","46.92","41.2","47.75","46.32","31.25","30.84","50.32","2.69","1.44","65.04","2.27","2.61","46.58","27.77","25.99","51.66","9.67","11.78","45.09","0","0","-","0.00","100.00","8.60","95.32","1.039"
" 2019-10-03 - Coyotes 1, Ducks 2","Arizona Coyotes","Limited ReportFull Report","53.966666666667","72.01","68.56","51.23","50.99","54.97","48.13","34.24","32.74","51.12","1.12","2.1","34.89","2.53","2.59","49.43","21.68","27.16","44.39","11.5","8.59","57.23","0","1.05","0.00","0.00","80.86","3.28","93.59","0.969"
