"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-10 - Oilers 4, Devils 3","New Jersey Devils","Limited ReportFull Report","4","60","15","80.00","45","15","75.00","30","15","66.67","0","0","-","6.58","0.02","99.69","15","0","100.00","15","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-10 - Ducks 1, Penguins 2","Anaheim Ducks","Limited ReportFull Report","6","110","10","91.67","70","10","87.50","50","10","83.33","0","0","-","5.03","0.02","99.66","20","0","100.00","10","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-10 - Ducks 1, Penguins 2","Pittsburgh Penguins","Limited ReportFull Report","8.1333333333333","81.15","0","100.00","66.39","0","100.00","51.64","0","100.00","7.38","0","100.00","5.76","0","100.00","44.26","0","100.00","14.75","0","100.00","7.38","0","100.00","50.00","-","14.29","-","-"
" 2019-10-10 - Blues 6, Senators 4","Ottawa Senators","Limited ReportFull Report","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
" 2019-10-10 - Blues 6, Senators 4","St Louis Blues","Limited ReportFull Report","6.5","101.54","27.69","78.57","73.85","18.46","80.00","46.15","18.46","71.43","9.23","9.23","50.00","7.79","1.81","81.17","55.38","9.23","85.71","27.69","9.23","75.00","0","9.23","0.00","0.00","0.00","20.00","50.00","0.700"
" 2019-10-10 - Capitals 5, Predators 6","Nashville Predators","Limited ReportFull Report","6.8","70.59","26.47","72.73","44.12","17.65","71.43","44.12","17.65","71.43","8.82","8.82","50.00","5.82","1.45","80.01","26.47","17.65","60.00","17.65","8.82","66.67","8.82","8.82","50.00","50.00","0.00","20.00","50.00","0.700"
" 2019-10-10 - Capitals 5, Predators 6","Washington Capitals","Limited ReportFull Report","2.95","81.36","0","100.00","61.02","0","100.00","61.02","0","100.00","40.68","0","100.00","4.89","0","100.00","20.34","0","100.00","0","0","-","0","0","-","-","-","66.67","-","-"
" 2019-10-10 - Wild 2, Jets 5","Minnesota Wild","Limited ReportFull Report","4","90","15","85.71","60","15","80.00","60","15","80.00","0","0","-","4.63","1.36","77.24","45","15","75.00","30","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-10 - Wild 2, Jets 5","Winnipeg Jets","Limited ReportFull Report","4","150","45","76.92","120","45","72.73","75","30","71.43","0","0","-","9.52","3.05","75.72","105","45","70.00","60","15","80.00","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-10 - Sharks 5, Blackhawks 4","Chicago Blackhawks","Limited ReportFull Report","4","105","0","100.00","60","0","100.00","0","0","-","0","0","-","3.79","0","100.00","60","0","100.00","15","0","100.00","0","0","-","-","-","-","-","-"
" 2019-10-10 - Sharks 5, Blackhawks 4","San Jose Sharks","Limited ReportFull Report","3.4333333333333","139.81","17.48","88.89","139.81","17.48","88.89","122.33","17.48","87.50","34.95","0","100.00","16.08","0.93","94.56","87.38","0","100.00","69.9","0","100.00","17.48","0","100.00","33.33","-","28.57","100.00","1.286"
" 2019-10-10 - Flames 3, Stars 2","Calgary Flames","Limited ReportFull Report","3.1833333333333","37.7","0","100.00","18.85","0","100.00","18.85","0","100.00","18.85","0","100.00","1.3","0","100.00","0","0","-","0","0","-","0","0","-","-","-","100.00","-","-"
" 2019-10-10 - Flames 3, Stars 2","Dallas Stars","Limited ReportFull Report","7.5","152","0","100.00","112","0","100.00","64","0","100.00","8","0","100.00","9.86","0","100.00","88","0","100.00","40","0","100.00","8","0","100.00","50.00","-","12.50","-","-"
" 2019-10-10 - Bruins 2, Avalanche 4","Boston Bruins","Limited ReportFull Report","2","90","30","75.00","60","30","66.67","60","30","66.67","0","0","-","5.56","0.12","97.92","60","0","100.00","30","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-10 - Bruins 2, Avalanche 4","Colorado Avalanche","Limited ReportFull Report","2.6166666666667","91.72","0","100.00","45.86","0","100.00","45.86","0","100.00","22.93","0","100.00","6.34","0","100.00","68.79","0","100.00","22.93","0","100.00","22.93","0","100.00","100.00","-","50.00","-","-"
" 2019-10-10 - Golden Knights 1, Coyotes 4","Arizona Coyotes","Limited ReportFull Report","4","30","60","33.33","15","60","20.00","15","45","25.00","0","0","-","0.65","4.12","13.66","0","15","0.00","0","15","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-10 - Golden Knights 1, Coyotes 4","Vegas Golden Knights","Limited ReportFull Report","8.0166666666667","112.27","14.97","88.24","104.78","14.97","87.50","97.3","14.97","86.67","0","0","-","10.01","1.73","85.23","82.33","14.97","84.62","29.94","14.97","66.67","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-11 - Panthers 2, Sabres 3","Buffalo Sabres","Limited ReportFull Report","6.25","76.8","19.2","80.00","28.8","19.2","60.00","28.8","9.6","75.00","0","0","-","1.7","0.82","67.45","9.6","19.2","33.33","9.6","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-11 - Panthers 2, Sabres 3","Florida Panthers","Limited ReportFull Report","2.25","106.67","0","100.00","106.67","0","100.00","106.67","0","100.00","0","0","-","3.63","0","100.00","0","0","-","0","0","-","0","0","-","-","-","0.00","-","-"
" 2019-10-11 - Ducks 2, Blue Jackets 1","Anaheim Ducks","Limited ReportFull Report","2","30","30","50.00","30","30","50.00","30","30","50.00","0","0","-","0.92","0.48","65.88","0","0","-","0","0","-","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-11 - Ducks 2, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull Report","6.0833333333333","49.32","19.73","71.43","39.45","19.73","66.67","19.73","19.73","50.00","0","9.86","0.00","3.22","2.62","55.17","19.73","19.73","50.00","19.73","9.86","66.67","0","9.86","0.00","0.00","0.00","0.00","50.00","0.500"
" 2019-10-11 - Islanders 2, Hurricanes 5","Carolina Hurricanes","Limited ReportFull Report","3.1166666666667","77.01","0","100.00","57.75","0","100.00","38.5","0","100.00","0","0","-","8.22","0","100.00","77.01","0","100.00","19.25","0","100.00","0","0","-","-","-","0.00","-","-"
" 2019-10-11 - Islanders 2, Hurricanes 5","New York Islanders","Limited ReportFull Report","4.8666666666667","123.29","0","100.00","61.64","0","100.00","61.64","0","100.00","24.66","0","100.00","8.47","0","100.00","61.64","0","100.00","24.66","0","100.00","12.33","0","100.00","50.00","-","40.00","-","-"
" 2019-10-12 - Oilers 4, Rangers 1","Edmonton Oilers","Limited ReportFull Report","3.1833333333333","150.79","0","100.00","131.94","0","100.00","75.39","0","100.00","18.85","0","100.00","11.21","0","100.00","94.24","0","100.00","56.54","0","100.00","0","0","-","0.00","-","25.00","-","-"
" 2019-10-12 - Oilers 4, Rangers 1","New York Rangers","Limited ReportFull Report","6.6666666666667","108","9","92.31","81","9","90.00","45","9","83.33","0","0","-","6.85","0.36","95.06","72","9","88.89","18","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-12 - Lightning 2, Senators 4","Ottawa Senators","Limited ReportFull Report","8.5666666666667","77.04","14.01","84.62","63.04","14.01","81.82","35.02","14.01","71.43","0","0","-","5.22","0.54","90.56","49.03","7","87.50","28.02","7","80.00","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-12 - Lightning 2, Senators 4","Tampa Bay Lightning","Limited ReportFull Report","6.3333333333333","66.32","18.95","77.78","37.89","18.95","66.67","9.47","18.95","33.33","0","0","-","2.35","0.74","76.07","9.47","9.47","50.00","9.47","0","100.00","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-12 - Predators 4, Kings 7","Los Angeles Kings","Limited ReportFull Report","2.3333333333333","128.57","51.43","71.43","128.57","51.43","71.43","102.86","25.71","80.00","0","0","-","11.83","6.45","64.70","77.14","51.43","60.00","25.71","25.71","50.00","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-12 - Predators 4, Kings 7","Nashville Predators","Limited ReportFull Report","5.1833333333333","162.06","11.58","93.33","92.6","11.58","88.89","92.6","11.58","88.89","11.58","0","100.00","9.01","0.58","93.94","57.88","11.58","83.33","11.58","0","100.00","11.58","0","100.00","100.00","-","12.50","100.00","1.125"
" 2019-10-12 - Devils 0, Bruins 3","Boston Bruins","Limited ReportFull Report","4.3833333333333","109.51","41.06","72.73","109.51","27.38","80.00","54.75","13.69","80.00","13.69","0","100.00","10.19","1.1","90.28","54.75","13.69","80.00","41.06","0","100.00","13.69","0","100.00","50.00","-","25.00","100.00","1.250"
" 2019-10-12 - Devils 0, Bruins 3","New Jersey Devils","Limited ReportFull Report","8","60","15","80.00","45","7.5","85.71","37.5","7.5","83.33","0","0","-","5.31","1.21","81.42","37.5","7.5","83.33","15","7.5","66.67","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-12 - Blues 3, Canadiens 6","Montreal Canadiens","Limited ReportFull Report","8","97.5","15","86.67","52.5","15","77.78","30","15","66.67","0","0","-","4.1","0.17","96.05","37.5","0","100.00","0","0","-","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-12 - Blues 3, Canadiens 6","St Louis Blues","Limited ReportFull Report","2.8333333333333","84.71","42.35","66.67","84.71","21.18","80.00","63.53","21.18","75.00","21.18","0","100.00","4.76","1.39","77.38","63.53","21.18","75.00","21.18","0","100.00","21.18","0","100.00","100.00","-","33.33","100.00","1.333"
" 2019-10-12 - Maple Leafs 5, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","2","120","0","100.00","90","0","100.00","60","0","100.00","0","0","-","5.67","0","100.00","60","0","100.00","0","0","-","0","0","-","-","-","0.00","-","-"
" 2019-10-12 - Maple Leafs 5, Red Wings 2","Toronto Maple Leafs","Limited ReportFull Report","6","60","40","60.00","40","40","50.00","40","30","57.14","0","0","-","3.48","3.74","48.22","30","30","50.00","20","20","50.00","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-12 - Panthers 2, Islanders 3","Florida Panthers","Limited ReportFull Report","5.2","34.62","23.08","60.00","23.08","23.08","50.00","23.08","23.08","50.00","0","0","-","2.82","0.09","96.93","11.54","0","100.00","11.54","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-12 - Panthers 2, Islanders 3","New York Islanders","Limited ReportFull Report","1.2","100","50","66.67","50","0","100.00","0","0","-","0","0","-","3.15","0","100.00","0","50","0.00","0","0","-","0","0","-","-","-","-","-","-"
" 2019-10-12 - Blue Jackets 3, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","5.05","71.29","0","100.00","59.41","0","100.00","47.52","0","100.00","0","0","-","3.05","0","100.00","47.52","0","100.00","0","0","-","0","0","-","-","-","0.00","-","-"
" 2019-10-12 - Blue Jackets 3, Hurricanes 2","Columbus Blue Jackets","Limited ReportFull Report","5.05","130.69","0","100.00","130.69","0","100.00","71.29","0","100.00","0","0","-","11.76","0","100.00","95.05","0","100.00","11.88","0","100.00","0","0","-","0.00","-","0.00","-","-"
" 2019-10-12 - Jets 3, Blackhawks 2","Chicago Blackhawks","Limited ReportFull Report","3.6166666666667","49.77","16.59","75.00","33.18","16.59","66.67","33.18","16.59","66.67","16.59","0","100.00","3.16","1.13","73.57","33.18","16.59","66.67","16.59","0","100.00","16.59","0","100.00","100.00","-","50.00","100.00","1.500"
" 2019-10-12 - Jets 3, Blackhawks 2","Winnipeg Jets","Limited ReportFull Report","7.6333333333333","39.3","31.44","55.56","31.44","23.58","57.14","31.44","23.58","57.14","7.86","7.86","50.00","2.24","2.33","49.04","23.58","23.58","50.00","7.86","15.72","33.33","0","7.86","0.00","0.00","50.00","25.00","66.67","0.917"
" 2019-10-12 - Capitals 4, Stars 1","Dallas Stars","Limited ReportFull Report","12","95","15","86.36","50","15","76.92","25","5","83.33","0","0","-","3.06","0.25","92.36","35","0","100.00","15","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-12 - Capitals 4, Stars 1","Washington Capitals","Limited ReportFull Report","6.4833333333333","101.8","27.76","78.57","64.78","27.76","70.00","55.53","27.76","66.67","18.51","0","100.00","5.12","1.38","78.73","37.02","9.25","80.00","27.76","0","100.00","18.51","0","100.00","66.67","-","33.33","100.00","1.333"
