"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-03 - Canadiens 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","4.9166666666667","12.2","109.83","10.00","12.2","97.63","11.11","12.2","61.02","16.67","0","12.2","0.00","1.13","7.68","12.80","12.2","48.81","20.00","12.2","12.2","50.00","0","0","-","0.00","-","0.00","80.00","0.800"
" 2019-10-03 - Canadiens 3, Hurricanes 4","Montreal Canadiens","Limited ReportFull Report","5.5666666666667","10.78","97.01","10.00","10.78","97.01","10.00","0","64.67","0.00","0","10.78","0.00","0","13.22","0.04","0","86.23","0.00","0","43.11","0.00","0","10.78","0.00","-","66.67","-","83.33","-"
" 2019-10-03 - Wild 2, Predators 5","Minnesota Wild","Limited ReportFull Report","4","0","150","0.00","0","105","0.00","0","90","0.00","0","0","-","0","12","0.00","0","105","0.00","0","45","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-03 - Wild 2, Predators 5","Nashville Predators","Limited ReportFull Report","4.7833333333333","12.54","75.26","14.29","12.54","50.17","20.00","12.54","25.09","33.33","0","12.54","0.00","0.03","3.53","0.97","0","12.54","0.00","0","12.54","0.00","0","12.54","0.00","-","0.00","0.00","50.00","0.500"
" 2019-10-03 - Bruins 2, Stars 1","Boston Bruins","Limited ReportFull Report","3.2","0","150","0.00","0","112.5","0.00","0","93.75","0.00","0","0","-","0","15.6","0.00","0","112.5","0.00","0","75","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-03 - Bruins 2, Stars 1","Dallas Stars","Limited ReportFull Report","6.8","26.47","97.06","21.43","17.65","61.76","22.22","17.65","26.47","40.00","0","8.82","0.00","1.28","4.17","23.47","8.82","61.76","12.50","0","8.82","0.00","0","0","-","-","-","0.00","66.67","0.667"
" 2019-10-03 - Flames 3, Avalanche 5","Calgary Flames","Limited ReportFull Report","10","0","102","0.00","0","78","0.00","0","42","0.00","0","12","0.00","0","7.85","0.00","0","72","0.00","0","36","0.00","0","0","-","-","100.00","-","71.43","-"
" 2019-10-03 - Flames 3, Avalanche 5","Colorado Avalanche","Limited ReportFull Report","4.5","0","120","0.00","0","120","0.00","0","80","0.00","0","26.67","0.00","0","11.41","0.00","0","53.33","0.00","0","40","0.00","0","13.33","0.00","-","66.67","-","66.67","-"
" 2019-10-03 - Coyotes 1, Ducks 2","Anaheim Ducks","Limited ReportFull Report","2","30","30","50.00","30","30","50.00","0","0","-","0","0","-","0.07","1.98","3.33","0","0","-","0","0","-","0","0","-","-","-","-","-","-"
" 2019-10-03 - Coyotes 1, Ducks 2","Arizona Coyotes","Limited ReportFull Report","2","30","0","100.00","30","0","100.00","30","0","100.00","0","0","-","2.51","0","100.00","0","0","-","0","0","-","0","0","-","-","-","0.00","-","-"
" 2019-10-04 - Jets 5, Devils 4","New Jersey Devils","Limited ReportFull Report","4","30","45","40.00","30","30","50.00","15","0","100.00","0","0","-","2.64","1.66","61.43","30","15","66.67","30","0","100.00","0","0","-","0.00","-","0.00","-","-"
" 2019-10-04 - Jets 5, Devils 4","Winnipeg Jets","Limited ReportFull Report","4","0","150","0.00","0","135","0.00","0","120","0.00","0","0","-","0","7.74","0.00","0","75","0.00","0","0","-","0","0","-","-","-","-","100.00","-"
" 2019-10-04 - Capitals 2, Islanders 1","New York Islanders","Limited ReportFull Report","2.9166666666667","82.29","102.86","44.44","61.71","41.14","60.00","41.14","41.14","50.00","0","20.57","0.00","1.86","4.61","28.73","20.57","61.71","25.00","0","20.57","0.00","0","20.57","0.00","-","0.00","0.00","50.00","0.500"
" 2019-10-04 - Capitals 2, Islanders 1","Washington Capitals","Limited ReportFull Report","2","0","90","0.00","0","60","0.00","0","60","0.00","0","0","-","0","5.13","0.00","0","60","0.00","0","0","-","0","0","-","-","-","-","100.00","-"
" 2019-10-04 - Maple Leafs 4, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull Report","6","0","70","0.00","0","70","0.00","0","50","0.00","0","20","0.00","0","6.98","0.00","0","40","0.00","0","30","0.00","0","0","-","-","100.00","-","60.00","-"
" 2019-10-04 - Maple Leafs 4, Blue Jackets 1","Toronto Maple Leafs","Limited ReportFull Report","6.3166666666667","0","66.49","0.00","0","47.49","0.00","0","47.49","0.00","0","9.5","0.00","0","2.95","0.00","0","28.5","0.00","0","0","-","0","0","-","-","-","-","80.00","-"
" 2019-10-04 - Blackhawks 3, Flyers 4","Chicago Blackhawks","Limited ReportFull Report","4.0833333333333","14.69","102.86","12.50","14.69","73.47","16.67","14.69","44.08","25.00","0","14.69","0.00","1.5","6.48","18.79","14.69","29.39","33.33","14.69","29.39","33.33","0","0","-","0.00","100.00","0.00","66.67","0.667"
" 2019-10-04 - Blackhawks 3, Flyers 4","Philadelphia Flyers","Limited ReportFull Report","2.2833333333333","26.28","52.55","33.33","26.28","52.55","33.33","26.28","26.28","50.00","0","26.28","0.00","0","4.66","0.09","0","52.55","0.00","0","26.28","0.00","0","26.28","0.00","-","0.00","0.00","0.00","0.000"
" 2019-10-04 - Golden Knights 5, Sharks 1","San Jose Sharks","Limited ReportFull Report","4.7666666666667","0","75.52","0.00","0","62.94","0.00","0","62.94","0.00","0","0","-","0","6.43","0.00","0","37.76","0.00","0","25.17","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-04 - Golden Knights 5, Sharks 1","Vegas Golden Knights","Limited ReportFull Report","8.7666666666667","20.53","123.19","14.29","20.53","88.97","18.75","20.53","75.29","21.43","13.69","0","100.00","2.23","11.32","16.44","13.69","54.75","20.00","6.84","34.22","16.67","6.84","0","100.00","100.00","100.00","66.67","100.00","1.667"
" 2019-10-05 - Devils 2, Sabres 7","Buffalo Sabres","Limited ReportFull Report","4","0","105","0.00","0","90","0.00","0","75","0.00","0","0","-","0","8.08","0.00","0","45","0.00","0","45","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-05 - Devils 2, Sabres 7","New Jersey Devils","Limited ReportFull Report","5.0333333333333","0","166.89","0.00","0","143.05","0.00","0","107.28","0.00","0","35.76","0.00","0","14.27","0.00","0","131.13","0.00","0","23.84","0.00","0","11.92","0.00","-","50.00","-","66.67","-"
" 2019-10-05 - Canadiens 6, Maple Leafs 5","Montreal Canadiens","Limited ReportFull Report","8.0833333333333","0","118.76","0.00","0","103.92","0.00","0","66.8","0.00","0","7.42","0.00","0","10.84","0.00","0","74.23","0.00","0","22.27","0.00","0","0","-","-","100.00","-","88.89","-"
" 2019-10-05 - Canadiens 6, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","2.9333333333333","20.45","81.82","20.00","20.45","0","100.00","20.45","0","100.00","0","0","-","0.66","0","100.00","0","0","-","0","0","-","0","0","-","-","-","0.00","-","-"
" 2019-10-05 - Rangers 4, Senators 1","New York Rangers","Limited ReportFull Report","10","30","78","27.78","24","54","30.77","24","42","36.36","6","0","100.00","0.62","5","11.07","12","18","40.00","6","18","25.00","6","0","100.00","100.00","100.00","25.00","100.00","1.250"
" 2019-10-05 - Rangers 4, Senators 1","Ottawa Senators","Limited ReportFull Report","3.8833333333333","0","139.06","0.00","0","92.7","0.00","0","61.8","0.00","0","30.9","0.00","0","10.46","0.00","0","77.25","0.00","0","30.9","0.00","0","15.45","0.00","-","0.00","-","50.00","-"
" 2019-10-05 - Lightning 3, Panthers 4","Florida Panthers","Limited ReportFull Report","1.6166666666667","0","111.34","0.00","0","111.34","0.00","0","111.34","0.00","0","0","-","0","5.7","0.00","0","0","-","0","0","-","0","0","-","-","-","-","100.00","-"
" 2019-10-05 - Lightning 3, Panthers 4","Tampa Bay Lightning","Limited ReportFull Report","3.7833333333333","15.86","111.01","12.50","0","79.3","0.00","0","79.3","0.00","0","31.72","0.00","0","9.32","0.00","15.86","63.44","20.00","0","15.86","0.00","0","0","-","-","100.00","-","60.00","-"
" 2019-10-05 - Blue Jackets 2, Penguins 7","Columbus Blue Jackets","Limited ReportFull Report","6.4","9.38","93.75","9.09","9.38","75","11.11","9.38","65.63","12.50","0","9.38","0.00","1.04","6.93","13.00","9.38","65.63","12.50","9.38","18.75","33.33","0","0","-","0.00","100.00","0.00","85.71","0.857"
" 2019-10-05 - Blue Jackets 2, Penguins 7","Pittsburgh Penguins","Limited ReportFull Report","2","0","150","0.00","0","150","0.00","0","150","0.00","0","0","-","0","15.99","0.00","0","60","0.00","0","60","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-05 - Hurricanes 3, Capitals 2","Carolina Hurricanes","Limited ReportFull Report","9.4833333333333","25.31","37.96","40.00","25.31","31.63","44.44","18.98","31.63","37.50","0","0","-","1.02","3.15","24.48","6.33","18.98","25.00","0","6.33","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-05 - Hurricanes 3, Capitals 2","Washington Capitals","Limited ReportFull Report","6.05","9.92","99.17","9.09","9.92","79.34","11.11","9.92","59.5","14.29","0","9.92","0.00","0.52","7.17","6.80","0","39.67","0.00","0","19.83","0.00","0","9.92","0.00","-","0.00","0.00","83.33","0.833"
" 2019-10-05 - Stars 2, Blues 3","Dallas Stars","Limited ReportFull Report","4","30","90","25.00","30","75","28.57","30","60","33.33","15","0","100.00","2.99","4.59","39.42","30","15","66.67","15","15","50.00","0","0","-","0.00","100.00","50.00","100.00","1.500"
" 2019-10-05 - Stars 2, Blues 3","St Louis Blues","Limited ReportFull Report","4","15","135","10.00","15","105","12.50","15","90","14.29","0","0","-","0.02","10.15","0.18","0","60","0.00","0","30","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-05 - Red Wings 5, Predators 3","Detroit Red Wings","Limited ReportFull Report","2.1666666666667","110.77","27.69","80.00","83.08","27.69","75.00","55.38","27.69","66.67","0","27.69","0.00","7.04","3.93","64.19","55.38","27.69","66.67","55.38","27.69","66.67","0","27.69","0.00","0.00","0.00","0.00","0.00","0.000"
" 2019-10-05 - Red Wings 5, Predators 3","Nashville Predators","Limited ReportFull Report","4","15","105","12.50","15","90","14.29","15","75","16.67","0","0","-","0.02","3.98","0.58","0","30","0.00","0","0","-","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-05 - Wild 2, Avalanche 4","Colorado Avalanche","Limited ReportFull Report","7.25","16.55","57.93","22.22","16.55","41.38","28.57","16.55","33.1","33.33","0","8.28","0.00","1.69","3.02","35.87","8.28","16.55","33.33","0","16.55","0.00","0","8.28","0.00","-","0.00","0.00","75.00","0.750"
" 2019-10-05 - Wild 2, Avalanche 4","Minnesota Wild","Limited ReportFull Report","10","6","84","6.67","6","60","9.09","6","36","14.29","0","6","0.00","0.01","3.78","0.16","0","42","0.00","0","6","0.00","0","0","-","-","100.00","0.00","83.33","0.833"
" 2019-10-05 - Bruins 1, Coyotes 0","Arizona Coyotes","Limited ReportFull Report","2.1333333333333","56.25","112.5","33.33","56.25","84.38","40.00","56.25","84.38","40.00","0","0","-","3.37","6.32","34.80","28.13","56.25","33.33","28.13","56.25","33.33","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-05 - Bruins 1, Coyotes 0","Boston Bruins","Limited ReportFull Report","4.1333333333333","0","72.58","0.00","0","43.55","0.00","0","14.52","0.00","0","0","-","0","2.03","0.00","0","14.52","0.00","0","0","-","0","0","-","-","-","-","100.00","-"
" 2019-10-05 - Canucks 0, Flames 3","Calgary Flames","Limited ReportFull Report","9.3166666666667","6.44","122.36","5.00","6.44","96.6","6.25","6.44","57.96","10.00","0","0","-","0.01","5.9","0.09","0","45.08","0.00","0","6.44","0.00","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-05 - Canucks 0, Flames 3","Vancouver Canucks","Limited ReportFull Report","6.85","17.52","87.59","16.67","17.52","78.83","18.18","17.52","43.8","28.57","0","0","-","0.54","6.67","7.44","0","26.28","0.00","0","17.52","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-05 - Kings 5, Oilers 6","Edmonton Oilers","Limited ReportFull Report","3.25","18.46","147.69","11.11","18.46","73.85","20.00","18.46","55.38","25.00","0","18.46","0.00","0.08","4.44","1.76","0","18.46","0.00","0","0","-","0","0","-","-","-","0.00","66.67","0.667"
" 2019-10-05 - Kings 5, Oilers 6","Los Angeles Kings","Limited ReportFull Report","7.7666666666667","15.45","92.7","14.29","7.73","77.25","9.09","7.73","54.08","12.50","0","15.45","0.00","0.43","11.41","3.65","7.73","69.53","10.00","0","38.63","0.00","0","15.45","0.00","-","50.00","0.00","71.43","0.714"
" 2019-10-05 - Sharks 1, Ducks 3","Anaheim Ducks","Limited ReportFull Report","6","40","130","23.53","40","130","23.53","30","110","21.43","0","0","-","3.04","13.51","18.39","20","70","22.22","0","20","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-05 - Sharks 1, Ducks 3","San Jose Sharks","Limited ReportFull Report","3.9666666666667","0","121.01","0.00","0","105.88","0.00","0","90.76","0.00","0","0","-","0","10.02","0.00","0","90.76","0.00","0","30.25","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-06 - Lightning 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","4.25","0","42.35","0.00","0","28.24","0.00","0","14.12","0.00","0","14.12","0.00","0","0.98","0.00","0","14.12","0.00","0","0","-","0","0","-","-","-","-","0.00","-"
" 2019-10-06 - Lightning 3, Hurricanes 4","Tampa Bay Lightning","Limited ReportFull Report","5.0333333333333","0","107.28","0.00","0","59.6","0.00","0","35.76","0.00","0","23.84","0.00","0","3.75","0.00","0","35.76","0.00","0","11.92","0.00","0","11.92","0.00","-","0.00","-","33.33","-"
" 2019-10-06 - Stars 3, Red Wings 4","Dallas Stars","Limited ReportFull Report","13","4.62","69.23","6.25","0","41.54","0.00","0","27.69","0.00","0","4.62","0.00","0","2.67","0.00","0","13.85","0.00","0","4.62","0.00","0","0","-","-","-","-","83.33","-"
" 2019-10-06 - Stars 3, Red Wings 4","Detroit Red Wings","Limited ReportFull Report","4","0","120","0.00","0","75","0.00","0","45","0.00","0","0","-","0","7.73","0.00","0","45","0.00","0","15","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-06 - Jets 1, Islanders 4","New York Islanders","Limited ReportFull Report","4","45","30","60.00","45","30","60.00","45","30","60.00","0","0","-","7.16","3.2","69.13","45","15","75.00","45","15","75.00","0","0","-","0.00","100.00","0.00","100.00","1.000"
" 2019-10-06 - Jets 1, Islanders 4","Winnipeg Jets","Limited ReportFull Report","1.9","0","126.32","0.00","0","94.74","0.00","0","94.74","0.00","0","31.58","0.00","0","7.98","0.00","0","63.16","0.00","0","31.58","0.00","0","31.58","0.00","-","0.00","-","66.67","-"
" 2019-10-07 - Blues 3, Maple Leafs 2","St Louis Blues","Limited ReportFull Report","4","30","75","28.57","30","75","28.57","30","30","50.00","0","0","-","0.46","5.4","7.84","0","30","0.00","0","15","0.00","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-07 - Blues 3, Maple Leafs 2","Toronto Maple Leafs","Limited ReportFull Report","6","20","70","22.22","20","50","28.57","20","40","33.33","0","0","-","0.96","2.66","26.39","10","20","33.33","10","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-07 - Sabres 3, Blue Jackets 4","Buffalo Sabres","Limited ReportFull Report","2.45","0","269.39","0.00","0","244.9","0.00","0","220.41","0.00","0","48.98","0.00","0","23.95","0.00","0","97.96","0.00","0","73.47","0.00","0","24.49","0.00","-","66.67","-","77.78","-"
" 2019-10-07 - Sabres 3, Blue Jackets 4","Columbus Blue Jackets","Limited ReportFull Report","4.0833333333333","44.08","73.47","37.50","44.08","58.78","42.86","44.08","29.39","60.00","0","14.69","0.00","3.19","3.51","47.67","14.69","14.69","50.00","14.69","0","100.00","0","0","-","0.00","-","0.00","50.00","0.500"
" 2019-10-08 - Hurricanes 6, Panthers 3","Carolina Hurricanes","Limited ReportFull Report","7.1666666666667","0","108.84","0.00","0","66.98","0.00","0","58.6","0.00","0","0","-","0","4.81","0.00","0","33.49","0.00","0","8.37","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Hurricanes 6, Panthers 3","Florida Panthers","Limited ReportFull Report","4.7","0","153.19","0.00","0","127.66","0.00","0","127.66","0.00","0","12.77","0.00","0","16.37","0.00","0","63.83","0.00","0","51.06","0.00","0","12.77","0.00","-","75.00","-","90.00","-"
" 2019-10-08 - Oilers 5, Islanders 2","Edmonton Oilers","Limited ReportFull Report","4","15","45","25.00","0","15","0.00","0","15","0.00","0","0","-","0","2.37","0.00","15","30","33.33","0","15","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Oilers 5, Islanders 2","New York Islanders","Limited ReportFull Report","8.1833333333333","7.33","102.65","6.67","7.33","80.65","8.33","7.33","73.32","9.09","7.33","14.66","33.33","1.72","7.77","18.12","7.33","58.66","11.11","7.33","29.33","20.00","7.33","14.66","33.33","100.00","50.00","100.00","80.00","1.800"
" 2019-10-08 - Jets 4, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
" 2019-10-08 - Jets 4, Penguins 1","Winnipeg Jets","Limited ReportFull Report","4","0","90","0.00","0","75","0.00","0","75","0.00","0","0","-","0","9.04","0.00","0","60","0.00","0","15","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Stars 4, Capitals 3","Dallas Stars","Limited ReportFull Report","6.0666666666667","29.67","98.9","23.08","29.67","79.12","27.27","19.78","59.34","25.00","0","0","-","0.76","5.54","12.02","9.89","59.34","14.29","0","9.89","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-08 - Stars 4, Capitals 3","Washington Capitals","Limited ReportFull Report","6.2666666666667","0","67.02","0.00","0","28.72","0.00","0","28.72","0.00","0","0","-","0","1.6","0.00","0","47.87","0.00","0","9.57","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Ducks 3, Red Wings 1","Anaheim Ducks","Limited ReportFull Report","4","0","60","0.00","0","60","0.00","0","60","0.00","0","0","-","0","5.07","0.00","0","15","0.00","0","15","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Ducks 3, Red Wings 1","Detroit Red Wings","Limited ReportFull Report","6","0","110","0.00","0","60","0.00","0","60","0.00","0","0","-","0","7.47","0.00","0","20","0.00","0","20","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-08 - Sharks 2, Predators 5","Nashville Predators","Limited ReportFull Report","2.9666666666667","0","121.35","0.00","0","101.12","0.00","0","60.67","0.00","0","20.22","0.00","0","7.96","0.00","0","60.67","0.00","0","40.45","0.00","0","20.22","0.00","-","0.00","-","66.67","-"
" 2019-10-08 - Sharks 2, Predators 5","San Jose Sharks","Limited ReportFull Report","7.6166666666667","7.88","86.65","8.33","0","55.14","0.00","0","47.26","0.00","0","7.88","0.00","0","4.76","0.00","0","55.14","0.00","0","15.75","0.00","0","0","-","-","100.00","-","83.33","-"
" 2019-10-08 - Kings 4, Flames 3","Calgary Flames","Limited ReportFull Report","2.4666666666667","48.65","121.62","28.57","24.32","97.3","20.00","24.32","24.32","50.00","0","0","-","0","6.71","0.06","0","48.65","0.00","0","24.32","0.00","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-08 - Kings 4, Flames 3","Los Angeles Kings","Limited ReportFull Report","4","15","60","20.00","15","45","25.00","15","15","50.00","0","0","-","1.03","2.82","26.78","15","45","25.00","0","0","-","0","0","-","-","-","0.00","100.00","1.000"
" 2019-10-08 - Bruins 4, Golden Knights 3","Boston Bruins","Limited ReportFull Report","3.6833333333333","0","130.32","0.00","0","114.03","0.00","0","97.74","0.00","0","32.58","0.00","0","8.72","0.00","0","65.16","0.00","0","32.58","0.00","0","0","-","-","100.00","-","66.67","-"
" 2019-10-08 - Bruins 4, Golden Knights 3","Vegas Golden Knights","Limited ReportFull Report","5.3333333333333","22.5","135","14.29","11.25","112.5","9.09","11.25","56.25","16.67","0","11.25","0.00","0.63","8.14","7.18","22.5","78.75","22.22","0","11.25","0.00","0","0","-","-","100.00","0.00","80.00","0.800"
" 2019-10-09 - Canadiens 4, Sabres 5","Buffalo Sabres","Limited ReportFull Report","5.3","0","113.21","0.00","0","90.57","0.00","0","90.57","0.00","0","11.32","0.00","0","11.27","0.00","0","67.92","0.00","0","33.96","0.00","0","11.32","0.00","-","66.67","-","87.50","-"
" 2019-10-09 - Canadiens 4, Sabres 5","Montreal Canadiens","Limited ReportFull Report","6.4666666666667","27.84","157.73","15.00","27.84","148.45","15.79","18.56","129.9","12.50","9.28","18.56","33.33","1.81","8.32","17.86","18.56","46.39","28.57","9.28","9.28","50.00","9.28","0","100.00","100.00","100.00","50.00","85.71","1.357"
" 2019-10-09 - Devils 0, Flyers 4","New Jersey Devils","Limited ReportFull Report","6.1","29.51","127.87","18.75","19.67","108.2","15.38","19.67","78.69","20.00","0","19.67","0.00","0.01","11.47","0.06","0","49.18","0.00","0","19.67","0.00","0","0","-","-","100.00","0.00","75.00","0.750"
" 2019-10-09 - Devils 0, Flyers 4","Philadelphia Flyers","Limited ReportFull Report","6.0833333333333","29.59","29.59","50.00","19.73","29.59","40.00","19.73","9.86","66.67","0","0","-","2.97","2.85","51.00","9.86","19.73","33.33","9.86","9.86","50.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-09 - Kings 2, Canucks 8","Los Angeles Kings","Limited ReportFull Report","3.8666666666667","0","155.17","0.00","0","139.66","0.00","0","62.07","0.00","0","15.52","0.00","0","12.14","0.00","0","77.59","0.00","0","15.52","0.00","0","0","-","-","100.00","-","75.00","-"
" 2019-10-09 - Kings 2, Canucks 8","Vancouver Canucks","Limited ReportFull Report","6.3333333333333","0","142.11","0.00","0","123.16","0.00","0","94.74","0.00","0","0","-","0","12.15","0.00","0","66.32","0.00","0","37.89","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-10 - Lightning 7, Maple Leafs 3","Tampa Bay Lightning","Limited ReportFull Report","3.05","0","78.69","0.00","0","59.02","0.00","0","59.02","0.00","0","19.67","0.00","0","2.37","0.00","0","19.67","0.00","0","0","-","0","0","-","-","-","-","66.67","-"
" 2019-10-10 - Lightning 7, Maple Leafs 3","Toronto Maple Leafs","Limited ReportFull Report","4.5333333333333","13.24","185.29","6.67","13.24","145.59","8.33","13.24","92.65","12.50","0","26.47","0.00","0.03","12.92","0.26","0","119.12","0.00","0","39.71","0.00","0","0","-","-","100.00","0.00","71.43","0.714"
" 2019-10-10 - Red Wings 4, Canadiens 2","Detroit Red Wings","Limited ReportFull Report","3.6166666666667","33.18","132.72","20.00","33.18","116.13","22.22","33.18","116.13","22.22","0","16.59","0.00","3.94","12.34","24.20","33.18","66.36","33.33","16.59","49.77","25.00","0","16.59","0.00","0.00","66.67","0.00","85.71","0.857"
