"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-02 - Senators 3, Maple Leafs 5","Ottawa Senators","Limited ReportFull Report","8.1666666666667","14.69","146.94","9.09","14.69","124.9","10.53","14.69","73.47","16.67","0","7.35","0.00","1.86","7.47","19.93","7.35","66.12","10.00","7.35","7.35","50.00","0","0","-","0.00","100.00","0.00","90.00","0.900"
" 2019-10-02 - Senators 3, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","6","10","30","25.00","10","20","33.33","0","0","-","0","0","-","0.24","2.77","7.94","0","20","0.00","0","20","0.00","0","0","-","-","-","-","-","-"
" 2019-10-02 - Capitals 3, Blues 2","St Louis Blues","Limited ReportFull Report","5.8833333333333","30.59","132.58","18.75","30.59","81.59","27.27","30.59","50.99","37.50","0","10.2","0.00","0.87","7.62","10.23","0","40.79","0.00","0","30.59","0.00","0","0","-","-","100.00","0.00","80.00","0.800"
" 2019-10-02 - Capitals 3, Blues 2","Washington Capitals","Limited ReportFull Report","3.25","18.46","92.31","16.67","18.46","73.85","20.00","18.46","36.92","33.33","0","18.46","0.00","0.67","6.44","9.38","0","18.46","0.00","0","18.46","0.00","0","0","-","-","-","0.00","50.00","0.500"
" 2019-10-02 - Canucks 2, Oilers 3","Edmonton Oilers","Limited ReportFull Report","8","7.5","90","7.69","0","82.5","0.00","0","52.5","0.00","0","0","-","0","9.09","0.00","7.5","60","11.11","0","37.5","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-02 - Canucks 2, Oilers 3","Vancouver Canucks","Limited ReportFull Report","4","0","120","0.00","0","45","0.00","0","45","0.00","0","0","-","0","4.6","0.00","0","45","0.00","0","15","0.00","0","0","-","-","100.00","-","100.00","-"
" 2019-10-02 - Sharks 1, Golden Knights 4","San Jose Sharks","Limited ReportFull Report","4.3333333333333","0","152.31","0.00","0","124.62","0.00","0","83.08","0.00","0","13.85","0.00","0","8.96","0.00","0","69.23","0.00","0","13.85","0.00","0","0","-","-","-","-","83.33","-"
" 2019-10-02 - Sharks 1, Golden Knights 4","Vegas Golden Knights","Limited ReportFull Report","6.9833333333333","25.78","77.33","25.00","25.78","60.14","30.00","25.78","51.55","33.33","8.59","0","100.00","1.48","5.33","21.75","17.18","51.55","25.00","8.59","8.59","50.00","8.59","0","100.00","100.00","100.00","33.33","100.00","1.333"
" 2019-10-03 - Panthers 2, Lightning 5","Florida Panthers","Limited ReportFull Report","4.2333333333333","14.17","99.21","12.50","14.17","99.21","12.50","14.17","99.21","12.50","14.17","14.17","50.00","1.08","10.54","9.28","14.17","42.52","25.00","0","28.35","0.00","0","14.17","0.00","-","50.00","100.00","85.71","1.857"
" 2019-10-03 - Panthers 2, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","6.7666666666667","8.87","115.27","7.14","8.87","70.94","11.11","8.87","62.07","12.50","0","0","-","0.18","4.25","4.01","0","26.6","0.00","0","8.87","0.00","0","0","-","-","100.00","0.00","100.00","1.000"
" 2019-10-03 - Jets 4, Rangers 6","New York Rangers","Limited ReportFull Report","7.4666666666667","8.04","128.57","5.88","8.04","88.39","8.33","8.04","72.32","10.00","0","8.04","0.00","0.01","7.63","0.12","0","64.29","0.00","0","24.11","0.00","0","8.04","0.00","-","50.00","0.00","88.89","0.889"
" 2019-10-03 - Jets 4, Rangers 6","Winnipeg Jets","Limited ReportFull Report","3.6166666666667","16.59","116.13","12.50","16.59","116.13","12.50","16.59","66.36","20.00","0","16.59","0.00","0.56","11.3","4.71","0","66.36","0.00","0","33.18","0.00","0","16.59","0.00","-","0.00","0.00","75.00","0.750"
" 2019-10-03 - Sabres 3, Penguins 1","Buffalo Sabres","Limited ReportFull Report","6.7166666666667","26.8","98.26","21.43","26.8","62.53","30.00","26.8","44.67","37.50","0","8.93","0.00","2.32","6.02","27.81","8.93","62.53","12.50","8.93","8.93","50.00","0","0","-","0.00","-","0.00","80.00","0.800"
" 2019-10-03 - Sabres 3, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","3.5666666666667","16.82","134.58","11.11","16.82","117.76","12.50","16.82","100.93","14.29","0","16.82","0.00","0.01","16.03","0.07","0","84.11","0.00","0","50.47","0.00","0","16.82","0.00","-","50.00","0.00","83.33","0.833"
