season_id,home_team,away_team,Home_Team_Won,home_pts_pct,away_pts_pct,home_TOI,home_FF/60,home_FA/60,home_FF%,home_GF/60,home_GA/60,home_GF%,home_xGF/60,home_xGA/60,home_xGF%,home_HDCF/60,home_HDCA/60,home_HDCF%,home_HDSH%,home_HDSV%,home_SH%,home_SV%,home_PDO,home_TOI_pp,home_GF/60_pp,home_xGF/60_pp,home_TOI_pk,home_GA/60_pk,home_xGA/60_pk,away_TOI,away_FF/60,away_FA/60,away_FF%,away_GF/60,away_GA/60,away_GF%,away_xGF/60,away_xGA/60,away_xGF%,away_HDCF/60,away_HDCA/60,away_HDCF%,away_HDSH%,away_HDSV%,away_SH%,away_SV%,away_PDO,away_TOI_pp,away_GF/60_pp,away_xGF/60_pp,away_TOI_pk,away_GA/60_pk,away_xGA/60_pk
20192020,PHI,CHI,1,1.0,0.0,50.016666666667,55.71,33.45,62.48,2.32,1.21,65.64,3.06,1.98,60.74,17.6,6.24,73.83,12.41,80.36,5.96,95.93,1.019,4.0833333333333,14.69,6.48,2.2833333333333,26.28,4.66,50.016666666667,33.45,55.71,37.52,1.21,2.32,34.36,1.98,3.06,39.26,6.24,17.6,26.17,19.64,87.59,4.07,94.04,0.981,2.2833333333333,26.28,4.66,4.0833333333333,14.69,6.48
20192020,N.J,WPG,0,0.5,0.5,52.0,46.84,39.32,54.36,4.52,4.65,49.24,2.81,1.8,60.9,13.78,8.22,62.63,23.66,65.69,12.85,84.12,0.97,4.0,0.0,7.74,4.0,0.0,1.66,52.0,39.32,46.84,45.64,4.65,4.52,50.76,1.8,2.81,39.1,8.22,13.78,37.37,34.31,76.34,15.88,87.15,1.03,4.0,0.0,1.66,4.0,0.0,7.74
20192020,NYI,WSH,0,0.0,1.0,54.133333333333,29.07,42.74,40.48,1.02,1.17,46.65,1.29,2.17,37.4,5.07,9.73,34.23,0.0,100.0,4.66,96.18,1.008,2.0,0.0,5.13,2.9166666666667,20.57,4.61,54.133333333333,42.74,29.07,59.52,1.17,1.02,53.35,2.17,1.29,62.6,9.73,5.07,65.77,0.0,100.0,3.82,95.34,0.992,2.9166666666667,20.57,4.61,2.0,0.0,5.13
20192020,CBJ,TOR,0,0.0,1.0,43.916666666667,38.24,35.9,51.58,0.0,1.47,0.0,2.25,1.7,57.05,7.18,6.07,54.19,0.0,100.0,0.0,94.78,0.948,6.3166666666667,9.5,2.95,6.0,20.0,6.98,43.916666666667,35.9,38.24,48.42,1.47,0.0,100.0,1.7,2.25,42.95,6.07,7.18,45.81,0.0,100.0,5.22,100.0,1.052,6.0,20.0,6.98,6.3166666666667,9.5,2.95
20192020,S.J,VGK,0,0.0,1.0,45.233333333333,38.33,38.53,49.87,1.22,4.27,22.19,2.58,3.26,44.17,11.12,19.35,36.49,12.07,73.77,4.57,86.22,0.908,8.7666666666667,0.0,11.32,4.7666666666667,0.0,6.43,45.233333333333,38.53,38.33,50.13,4.27,1.22,77.81,3.26,2.58,55.83,19.35,11.12,63.51,26.23,87.93,13.78,95.43,1.092,4.7666666666667,0.0,6.43,8.7666666666667,0.0,11.32
20192020,BUF,N.J,1,1.0,0.25,49.366666666667,47.83,25.68,65.07,4.82,2.45,66.27,2.22,1.65,57.42,8.6,7.14,54.66,27.42,100.0,13.82,85.42,0.992,5.0333333333333,35.76,14.27,4.0,0.0,8.08,49.366666666667,25.68,47.83,34.93,2.45,4.82,33.73,1.65,2.22,42.58,7.14,8.6,45.34,0.0,72.58,14.58,86.18,1.008,4.0,0.0,8.08,5.0333333333333,35.76,14.27
20192020,TOR,MTL,0,0.8333333333333334,0.75,47.783333333333,41.74,55.63,42.87,3.59,5.19,40.87,2.03,3.67,35.55,5.93,18.45,24.33,0.0,55.31,12.85,86.39,0.992,8.0833333333333,7.42,10.84,2.9333333333333,0.0,0.0,47.783333333333,55.63,41.74,57.13,5.19,3.59,59.13,3.67,2.03,64.45,18.45,5.93,75.67,44.69,100.0,13.61,87.15,1.008,2.9333333333333,0.0,0.0,8.0833333333333,7.42,10.84
20192020,OTT,NYR,0,0.0,1.0,46.116666666667,40.07,45.4,46.88,1.2,1.37,46.65,2.18,1.41,60.61,8.91,2.99,74.89,17.84,100.0,4.15,95.61,0.998,10.0,0.0,5.0,3.8833333333333,30.9,10.46,46.116666666667,45.4,40.07,53.12,1.37,1.2,53.35,1.41,2.18,39.39,2.99,8.91,25.11,0.0,82.16,4.39,95.85,1.002,3.8833333333333,30.9,10.46,10.0,0.0,5.0
20192020,FLA,T.B,1,0.5,0.5,51.1,37.31,35.57,51.2,2.31,2.37,49.41,1.72,4.14,29.35,7.04,16.62,29.74,38.2,84.07,8.7,92.61,1.013,3.7833333333333,31.72,9.32,1.6166666666667,0.0,5.7,51.1,35.57,37.31,48.8,2.37,2.31,50.59,4.14,1.72,70.65,16.62,7.04,70.26,15.93,61.8,7.39,91.3,0.987,1.6166666666667,0.0,5.7,3.7833333333333,31.72,9.32
20192020,PIT,CBJ,1,0.5,0.0,51.516666666667,54.77,37.01,59.68,6.87,2.35,74.5,2.65,1.74,60.35,7.83,4.61,62.95,16.07,64.57,17.08,91.15,1.082,6.4,9.38,6.93,2.0,0.0,15.99,51.516666666667,37.01,54.77,40.32,2.35,6.87,25.5,1.74,2.65,39.65,4.61,7.83,37.05,35.43,83.93,8.85,82.92,0.918,2.0,0.0,15.99,6.4,9.38,6.93
