season_id,date,Home_team,Away_team,Home_Team_Won,home_rolling_avg_FF%,home_rolling_avg_GF%,home_rolling_avg_xGF%,home_rolling_avg_HDCF%,home_rolling_avg_HDSH%,home_rolling_avg_HDSV%,home_rolling_avg_SH%,home_rolling_avg_SV%,home_rolling_avg_GF/60_pp,home_rolling_avg_xGF/60_pp,home_rolling_avg_GA/60_pk,home_rolling_avg_xGA/60_pk,away_rolling_avg_FF%,away_rolling_avg_GF%,away_rolling_avg_xGF%,away_rolling_avg_HDCF%,away_rolling_avg_HDSH%,away_rolling_avg_HDSV%,away_rolling_avg_SH%,away_rolling_avg_SV%,away_rolling_avg_GF/60_pp,away_rolling_avg_xGF/60_pp,away_rolling_avg_GA/60_pk,away_rolling_avg_xGA/60_pk
20192020,2019-10-22,CGY,WSH,0,51.529999999999994,49.292,52.17100000000001,48.052,6.475999999999999,85.00800000000001,70.57060606060605,916.0115151515151,6.027,4.839,2.492,6.428,54.229,49.31,55.439,52.822,13.942000000000002,77.652,97.9034375,916.0518749999999,55.926,17.439,5.718999999999999,4.657
20192020,2019-10-24,DAL,ANA,1,47.510000000000005,44.729,52.979,56.64,23.892,81.519,74.16064516129032,938.8016129032258,5.211,6.131,5.98,4.955,49.075,59.340999999999994,50.647000000000006,56.223,19.764000000000003,92.559,80.73677419354838,912.3325806451613,1.173,4.92,6.614,4.886
20192020,2019-10-24,EDM,WSH,1,48.525,41.521,47.858,44.778000000000006,18.509,82.631,77.37454545454547,911.0651515151516,13.210000000000003,8.734,4.144,7.6,53.307,51.114,54.277,53.13199999999999,16.438,75.486,97.9034375,916.0518749999999,54.90599999999999,17.127,4.801,4.281000000000001
20192020,2019-10-25,TOR,S.J,1,50.669,49.713,46.325,43.564,26.335,77.804,83.7253125,919.0721875,9.900000000000002,6.0120000000000005,6.1259999999999994,5.894,47.301,40.113,42.495999999999995,41.539,16.089,81.599,82.27999999999999,875.9659375,13.254000000000001,9.169,3.008,6.854000000000001
20192020,2019-10-25,DET,BUF,0,48.081,35.525,49.142,50.718,19.48,75.67999999999999,57.837187500000006,892.9221875,2.2990000000000004,4.348000000000001,12.068999999999999,7.170999999999999,49.556,60.775,47.158,46.951,29.490999999999996,86.14099999999999,83.69375,916.5846875,11.081999999999999,6.9159999999999995,8.904999999999998,8.075
20192020,2019-10-26,MTL,TOR,1,51.654999999999994,53.265,53.995000000000005,56.638,22.116999999999997,88.071,75.11258064516129,914.676129032258,7.9799999999999995,6.035,23.728,7.702,51.57900000000001,47.011,48.32,45.232,28.023000000000003,77.804,83.7253125,919.0721875,7.9,5.579,5.176,5.599
20192020,2019-10-26,DAL,PIT,0,48.596,51.997,53.185,56.16700000000001,26.651999999999997,81.519,74.16064516129032,938.8016129032258,5.211,8.419999999999998,7.480000000000001,5.609,52.028,46.302,51.099999999999994,52.29100000000001,21.481,83.636,85.17866666666667,918.7136666666665,7.025,8.135000000000002,10.238,4.198
20192020,2019-10-26,MIN,L.A,1,48.123000000000005,45.373000000000005,52.172000000000004,56.293000000000006,5.853,75.97999999999999,104.376875,916.1284375,12.635,5.561999999999999,9.831,7.159000000000001,54.461,48.019,54.919000000000004,59.123000000000005,16.113,71.922,62.22636363636363,916.1524242424242,3.2399999999999998,7.419,13.776999999999997,7.337999999999999
20192020,2019-10-26,COL,ANA,0,49.382999999999996,57.932,50.281,50.964999999999996,19.574,88.834,98.11258064516129,930.9370967741936,7.794,4.483,4.952,4.9350000000000005,48.448,52.83,49.316,55.54,17.85,89.799,80.73677419354838,912.3325806451613,2.673,6.0329999999999995,6.614,7.992
20192020,2019-10-26,WPG,CGY,1,45.469,36.694,41.663,39.738,7.474000000000001,83.274,89.86774193548386,936.6648387096774,4.208,5.265,35.117000000000004,7.401000000000001,50.008,43.078,50.924,46.011,13.303999999999998,79.67699999999999,70.57060606060605,916.0115151515151,5.794,4.2410000000000005,1.292,5.761
20192020,2019-10-27,EDM,FLA,0,49.806,40.542,49.248,47.876999999999995,15.428,86.04599999999999,77.37454545454547,911.0651515151516,13.210000000000003,8.739,5.773000000000001,7.441,55.440999999999995,46.077,52.638999999999996,50.713,20.551,79.341,94.79633333333332,899.5276666666666,5.539,4.068,5.321,6.891
20192020,2019-10-27,DET,STL,0,49.402,28.557,50.791000000000004,52.339,14.488,78.239,57.837187500000006,892.9221875,2.2990000000000004,4.234,10.311,7.433999999999999,51.525999999999996,38.694,46.022,39.117,9.567,84.569,80.2484375,928.9225,10.041999999999998,4.388,2.3609999999999998,5.901000000000001
20192020,2019-10-27,OTT,S.J,1,45.932,33.987,44.788,44.398,16.705,80.85,84.70935483870967,917.5696774193549,3.6710000000000003,4.118,7.313,7.997,47.883,39.424,43.534000000000006,42.815,16.089,81.11699999999999,82.27999999999999,875.9659375,13.254000000000001,8.636,1.6229999999999998,6.223
20192020,2019-10-27,VGK,ANA,1,48.555,23.907,51.291,49.628,10.281000000000002,80.66999999999999,71.32294117647058,914.3217647058823,11.406,8.347,5.154,6.479000000000001,47.957,55.431999999999995,47.848,53.42199999999999,18.972,89.799,80.73677419354838,912.3325806451613,3.7909999999999995,5.156000000000001,7.55,7.635
20192020,2019-10-28,BUF,ARI,0,47.692,64.148,46.174,46.951,26.748999999999995,86.14099999999999,83.69375,916.5846875,8.517,6.1450000000000005,8.904999999999998,7.551,52.525,55.472,54.774,52.176,24.588,91.995,79.73636363636365,934.1430303030302,8.325,5.212,9.626000000000001,6.231
